手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,"-7.428, -7.429, -7.430000000000001, -7.431000000000001, -7.432000000000001, -7.433000000000002, -7.434000000000002",無し
RSCCMM-CF,1,0.7035479770639178,-7.428,0
RSCCMM-CF,2,0.7051124832674945,-7.430000000000001,0
RSCCMM-CF,3,0.7065826573729593,-7.428,0
RSCCMM-CF,4,0.7077116601490205,-7.428,0
RSCCMM-CF,5,0.7070794274971166,-7.429,0
RSCCMM-CF,6,0.7058162733168037,-7.429,0
RSCCMM-CF,7,0.7050392667323335,-7.429,0
RSCCMM-CF,8,0.7062042849377284,-7.429,0
RSCCMM-CF,9,0.7072936909749099,-7.429,0
RSCCMM-CF,10,0.7083493072553567,-7.429,0
RSCCMM-CF,11,0.7049384235301991,-7.429,0
RSCCMM-CF,12,0.706246479643533,-7.429,0
RSCCMM-CF,13,0.7032407087982173,-7.429,0
RSCCMM-CF,14,0.7058093454050038,-7.430000000000001,0
RSCCMM-CF,15,0.7040160724316417,-7.429,0
RSCCMM-CF,16,0.7034950869896044,-7.429,0
RSCCMM-CF,17,0.7037792730071115,-7.430000000000001,0
RSCCMM-CF,18,0.7061155736745988,-7.430000000000001,0
RSCCMM-CF,19,0.7030906822783166,-7.429,0
RSCCMM-CF,20,0.7052879755286083,-7.429,0
RSCCMM-CF,21,0.702524604709418,-7.429,0
RSCCMM-CF,22,0.702153026645631,-7.430000000000001,0
RSCCMM-CF,23,0.7001815582306162,-7.434000000000002,0
RSCCMM-CF,24,0.7014063418153176,-7.429,0
RSCCMM-CF,25,0.6989324500677434,-7.432000000000001,0
RSCCMM-CF,26,0.700169236097771,-7.434000000000002,0
RSCCMM-CF,27,0.7016656448131651,-7.430000000000001,0
RSCCMM-CF,28,0.6996860466231467,-7.434000000000002,0
RSCCMM-CF,29,0.7011042249700152,-7.429,0
RSCCMM-CF,30,0.7001469186716167,-7.430000000000001,0
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,1.0,0.0
HCCMM-CF,1,0.7035479770639178,1.0,0.0
HCCMM-CF,2,0.6980682618642209,1.0,0.0
HCCMM-CF,3,0.6989652969486312,1.0,0.0
HCCMM-CF,4,0.6966173823168531,1.0,0.0
HCCMM-CF,5,0.6950250592524629,1.0,0.0
HCCMM-CF,6,0.6919683285979789,1.0,0.0
HCCMM-CF,7,0.6910676474571832,1.0,0.0
HCCMM-CF,8,0.698645415189309,1.0,0.0
HCCMM-CF,9,0.691965499970439,1.0,0.0
HCCMM-CF,10,0.6917309990587024,1.0,0.0
HCCMM-CF,11,0.6933183608965349,1.0,0.0
HCCMM-CF,12,0.692533536131225,1.0,0.0
HCCMM-CF,13,0.6911661597731044,1.0,0.0
HCCMM-CF,14,0.6910412428868009,1.0,0.0
HCCMM-CF,15,0.6883941735776161,1.0,0.0
HCCMM-CF,16,0.6867037388183725,1.0,0.0
HCCMM-CF,17,0.6879216835181781,1.0,0.0
HCCMM-CF,18,0.6871196482336597,1.0,0.0
HCCMM-CF,19,0.6878483536760484,1.0,0.0
HCCMM-CF,20,0.6858037698928088,1.0,0.0
HCCMM-CF,21,0.6868385417376942,1.0,0.0
HCCMM-CF,22,0.6845542206420936,1.0,0.0
HCCMM-CF,23,0.6819853290946275,1.0,0.0
HCCMM-CF,24,0.6887394806113769,1.0,0.0
HCCMM-CF,25,0.6813034679904373,1.0,0.0
HCCMM-CF,26,0.683913348333827,1.0,0.0
HCCMM-CF,27,0.6822895947256578,1.0,0.0
HCCMM-CF,28,0.6865665726394182,1.0,0.0
HCCMM-CF,29,0.6815533584165288,1.0,0.0
HCCMM-CF,30,0.6824785260025937,1.0,0.0
