クラスター数,delta,auc
7,-5,0.8434746494783706
7,-6,0.848752824107914
7,-7,0.8470627201142932
7,-8,0.8465340305003654
7,-9,0.8458983985646885
7,-10,0.8444738853079938
7,-11,0.8440014701973553
7,-12,0.8438752159611933
7,-13,0.8433967788557378
7,-14,0.8429297627749351
7,-15,0.8427713220147519
5,-5,0.8417560967506146
5,-6,0.8480737922785566
5,-7,0.8464962372915144
5,-8,0.8457708983985647
5,-9,0.8450634178350722
5,-10,0.8442024802312446
5,-11,0.8431241278490264
5,-12,0.8428188750083061
5,-13,0.8427902186191775
5,-14,0.8425611751611403
5,-15,0.8424953485281413
3,-5,0.8444016213701907
3,-6,0.8476663731809422
3,-7,0.8455441391454581
3,-8,0.8439690760183399
3,-9,0.8445054488670344
3,-10,0.8432703169645823
3,-11,0.8424326367200479
3,-12,0.8425372948368663
3,-13,0.8424392816798459
3,-14,0.8421886421024654
3,-15,0.8421176240946243
